DB,DB ID,Disease,MIM Number,Gene Symbol,Gene ID,GO-BP ID Count,GO-BP ID
OMIM,202110,"17,20-lyase deficiency, isolated | 17-alpha-hydroxylase/17,20-lyase deficiency",609300,CYP17A1,1586,5,GO:0006702 | GO:0007548 | GO:0042448 | GO:0055114 | GO:0006704
OMIM,616034,"2,4-dienoyl-CoA reductase deficiency",615787,NADK2,133686,3,GO:0019674 | GO:0006741 | GO:0016310
OMIM,204750,2-aminoadipic 2-oxoadipic aciduria,614984,DHTKD1,55526,2,GO:0002244 | GO:0006096
OMIM,610006,2-methylbutyrylglycinuria,600301,ACADSB,36,3,GO:0055114 | GO:0006631 | GO:0009083
OMIM,273750,3-M syndrome 1,609577,CUL7,9820,13,GO:0006511 | GO:0050775 | GO:0007030 | GO:0043687 | GO:0000281 | GO:0001890 | GO:0007088 | GO:0016567 | GO:0001570 | GO:0036498 | GO:0016032 | GO:0001837 | GO:0000226
OMIM,612921,3-M syndrome 2,610991,OBSL1,23363,10,GO:0050775 | GO:0007030 | GO:0043687 | GO:0010842 | GO:0007416 | GO:0007088 | GO:0055003 | GO:0034067 | GO:0007156 | GO:0000226
OMIM,614205,3-M syndrome 3,614145,CCDC8,83987,4,GO:0007088 | GO:0043687 | GO:0000226 | GO:0010923
OMIM,210200,3-Methylcrotonyl-CoA carboxylase 1 deficiency,609010,MCCC1,56922,2,GO:0006552 | GO:0006768
OMIM,210210,3-Methylcrotonyl-CoA carboxylase 2 deficiency,609014,MCCC2,64087,3,GO:0006552 | GO:0006768 | GO:0015936
OMIM,231530,3-hydroxyacyl-CoA dehydrogenase deficiency,601609,HADH,3033,6,GO:0014823 | GO:0046676 | GO:0032868 | GO:0042493 | GO:0120162 | GO:0006635
OMIM,250620,3-hydroxyisobutryl-CoA hydrolase deficiency,610690,HIBCH,26275,1,GO:0006574
OMIM,614739,"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome",614725,SERAC1,84947,4,GO:0030198 | GO:0008654 | GO:0032367 | GO:0036148
OMIM,250950,"3-methylglutaconic aciduria, type I",600529,AUH,549,2,GO:0006552 | GO:0006635
OMIM,258501,"3-methylglutaconic aciduria, type III",606580,OPA3,80207,6,GO:0070584 | GO:0040008 | GO:0050905 | GO:0050896 | GO:0007601 | GO:0019216
OMIM,617698,"3-methylglutaconic aciduria, type IX",607381,TIMM50,92609,4,GO:0035335 | GO:0030150 | GO:0007006 | GO:0001836
OMIM,610198,"3-methylglutaconic aciduria, type V",608977,DNAJC19,131118,6,GO:0006457 | GO:0006626 | GO:0032781 | GO:0030150 | GO:0048806 | GO:0007601
OMIM,617248,"3-methylglutaconic aciduria, type VIII",606441,HTRA2,27429,26,GO:0034605 | GO:0097194 | GO:1902176 | GO:0030900 | GO:0034599 | GO:0012501 | GO:0008630 | GO:0048666 | GO:1901215 | GO:0007568 | GO:0040014 | GO:0071300 | GO:0006672 | GO:0019742 | GO:1903955 | GO:0035458 | GO:0009635 | GO:0045786 | GO:2001241 | GO:0016540 | GO:0044257 | GO:0007628 | GO:1904924 | GO:0071363 | GO:0007005 | GO:2001269
OMIM,257920,3MC syndrome 1,600521,MASP1,5648,3,GO:0006898 | GO:0001867 | GO:0006508
OMIM,265050,3MC syndrome 2,612502,COLEC11,78989,5,GO:0001867 | GO:0019730 | GO:0007275 | GO:0006898 | GO:0097194
OMIM,248340,3MC syndrome 3,607620,COLEC10,10584,3,GO:1904888 | GO:0001867 | GO:0050918
OMIM,617480,"46, XX sex reversal 4",184757,NR5A1,2516,21,GO:0050810 | GO:2000195 | GO:0010259 | GO:0030522 | GO:0045944 | GO:2000020 | GO:0097720 | GO:0007538 | GO:0009888 | GO:0043401 | GO:0006367 | GO:0008584 | GO:0051457 | GO:0008585 | GO:0030154 | GO:0030238 | GO:0097210 | GO:0001553 | GO:0010628 | GO:0030325 | GO:0042445
OMIM,273250,"46, XY sex reversal 11",617362,DHX37,57647,1,GO:0000462
OMIM,618901,"46,XX sex reversal 5",107773,NR2F2,7026,23,GO:0045892 | GO:0000122 | GO:0001937 | GO:0030522 | GO:0060707 | GO:0003084 | GO:0009956 | GO:0009952 | GO:0030900 | GO:0045736 | GO:0048514 | GO:0060849 | GO:0007519 | GO:0032355 | GO:0043401 | GO:0010596 | GO:0009566 | GO:0060674 | GO:0001893 | GO:0006629 | GO:0001764 | GO:0060173 | GO:0045893
OMIM,607080,"46XY partial gonadal dysgenesis, with minifascicular neuropathy",605423,DHH,50846,13,GO:0016540 | GO:0050810 | GO:0001708 | GO:0033327 | GO:0007267 | GO:0010468 | GO:0007286 | GO:0007224 | GO:0001649 | GO:0030238 | GO:0043627 | GO:0042552 | GO:0032355
OMIM,400044,46XY sex reversal 1,480000,SRY,6736,9,GO:0045893 | GO:0045944 | GO:0000122 | GO:0009653 | GO:0007548 | GO:0030154 | GO:0030238 | GO:2000020 | GO:0006355
OMIM,300018,"46XY sex reversal 2, dosage-sensitive",300473,NR0B1,190,18,GO:0006367 | GO:0007283 | GO:0021854 | GO:0035902 | GO:0045892 | GO:0006694 | GO:0033327 | GO:0008104 | GO:0043433 | GO:0000122 | GO:0021983 | GO:0030238 | GO:0060008 | GO:0043401 | GO:0030522 | GO:0030325 | GO:0033144 | GO:0008584
OMIM,612965,46XY sex reversal 3,184757,NR5A1,2516,21,GO:0050810 | GO:2000195 | GO:0010259 | GO:0030522 | GO:0045944 | GO:2000020 | GO:0097720 | GO:0007538 | GO:0009888 | GO:0043401 | GO:0006367 | GO:0008584 | GO:0051457 | GO:0008585 | GO:0030154 | GO:0030238 | GO:0097210 | GO:0001553 | GO:0010628 | GO:0030325 | GO:0042445
OMIM,613762,46XY sex reversal 6,600982,MAP3K1,4214,5,GO:0000186 | GO:0071260 | GO:0000165 | GO:0002755 | GO:0038095
